observationStartMJD,band,m5,t_days,fiesta_filter,mag_true,snr_exp,mag_err,snr_obs,detected,mag_obs,mag_ulim
63271.06121688248,i,23.87965293263601,803.2148869145676,lssti,,,,,False,,23.87965293263601
63271.061618041895,i,23.87598266204675,803.2152880739814,lssti,,,,,False,,23.87598266204675
63271.062021867496,i,23.87585533972535,803.2156918995825,lssti,,,,,False,,23.87585533972535
63271.062425180506,i,23.87448075838076,803.2160952125923,lssti,,,,,False,,23.87448075838076
63271.06282572829,i,23.87237120514536,803.2164957603745,lssti,,,,,False,,23.87237120514536
63271.06322394178,i,23.87088709566688,803.2168939738694,lssti,,,,,False,,23.87088709566688
63271.06362951045,i,23.86680333758744,803.2172995425353,lssti,,,,,False,,23.86680333758744
63271.06403459364,i,23.727002783674383,803.2177046257275,lssti,,,,,False,,23.727002783674383
63271.0644375521,i,23.724759539424085,803.2181075841872,lssti,,,,,False,,23.724759539424085
63271.064838635546,i,23.722492107269897,803.2185086676327,lssti,,,,,False,,23.722492107269897
63271.06524246107,i,23.72238356998262,803.2189124931538,lssti,,,,,False,,23.72238356998262
63271.06564568876,i,23.7209721509912,803.2193157208458,lssti,,,,,False,,23.7209721509912
63271.066046232496,i,23.718791949899277,803.2197162645825,lssti,,,,,False,,23.718791949899277
63271.066447527504,i,23.716385648761783,803.220117559591,lssti,,,,,False,,23.716385648761783
63271.06685031189,i,23.71483859183298,803.2205203439735,lssti,,,,,False,,23.71483859183298
63271.06725445176,i,23.74208884403796,803.220924483845,lssti,,,,,False,,23.74208884403796
63271.06766001,i,23.73776508349304,803.2213300420844,lssti,,,,,False,,23.73776508349304
63271.068065085856,i,23.738270705344718,803.2217351179424,lssti,,,,,False,,23.738270705344718
63271.06846794858,i,23.7358975239094,803.2221379806651,lssti,,,,,False,,23.7358975239094
63271.06886900244,i,23.73349029945818,803.2225390345266,lssti,,,,,False,,23.73349029945818
63271.06927282779,i,23.73335362109995,803.2229428598803,lssti,,,,,False,,23.73335362109995
63271.0696759544,i,23.73184193597521,803.2233459864874,lssti,,,,,False,,23.73184193597521
63271.07007649277,i,23.729540940986237,803.2237465248545,lssti,,,,,False,,23.729540940986237
63271.07047777584,i,23.72704895228533,803.2241478079231,lssti,,,,,False,,23.72704895228533
63271.07088046109,i,23.60116200611102,803.224550493178,lssti,,,,,False,,23.60116200611102
63271.07128449519,i,23.600023581928266,803.2249545272789,lssti,,,,,False,,23.600023581928266
63271.0716900424,i,23.595523408482588,803.225360074488,lssti,,,,,False,,23.595523408482588
63271.07209511048,i,23.596081587229573,803.225765142568,lssti,,,,,False,,23.596081587229573
63271.07249788333,i,23.5936287375114,803.226167915418,lssti,,,,,False,,23.5936287375114
63271.07289895012,i,23.59113028543784,803.2265689822088,lssti,,,,,False,,23.59113028543784
63271.07330277522,i,23.59101858429215,803.2269728073079,lssti,,,,,False,,23.59101858429215
63271.0737058066,i,23.58945651889554,803.2273758386873,lssti,,,,,False,,23.58945651889554
63271.074106339285,i,23.526480241048443,803.2277763713719,lssti,,,,,False,,23.526480241048443
63271.074507609774,i,23.523900053115483,803.2281776418604,lssti,,,,,False,,23.523900053115483
63271.0749102012,i,23.522273930388383,803.2285802332844,lssti,,,,,False,,23.522273930388383
63271.0753141358,i,23.521101377053306,803.2289841678867,lssti,,,,,False,,23.521101377053306
63271.07571967137,i,23.516419378405523,803.2293897034542,lssti,,,,,False,,23.516419378405523
63271.07612473124,i,23.51703165666227,803.2297947633269,lssti,,,,,False,,23.51703165666227
63271.07652741963,i,23.514462009555483,803.2301974517177,lssti,,,,,False,,23.514462009555483
